Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description,DynamicArgs,,,
20,200,ExtractResults,ResultsPage,select,ddl_Select_Test,${data.inputset.Select Test},,,,,15000,FALSE,0,always,,Select Select Test. select opens the menu and commits the option itself - works for native and custom dropdowns,,,,
21,210,ExtractResults,ResultsPage,click,btn_Continue,,,,,,10000,FALSE,0,never,,click Continue,,,,
22,220,ExtractResults,ResultsPage,fill,txt_Type_1_Error,${data.design.Type 1 Error},,,,,10000,FALSE,0,never,,fill Type 1 Error,,,,
25,250,ExtractResults,ResultsPage,callCustom,,configureInterimSampleSizes,,,,,30000,FALSE,0,always,,Clear all interim rows, then add and fill the rows represented by design.csv,,,
36,360,ExtractResults,ResultsPage,click,btn_Response,,,,,,10000,FALSE,0,never,,click Response,,,,
37,370,ExtractResults,ResultsPage,fill,txt_Pr_CR,${data.design.pr1_H0},,,,,10000,FALSE,0,never,,fill Pr,,,,
38,380,ExtractResults,ResultsPage,fill,txt_Pr_PR,${data.design.pr2_H0},,,,,10000,FALSE,0,never,,fill Pr,,,,
39,390,ExtractResults,ResultsPage,fill,txt_pr1_H1,${data.design.pr1_H1},,,,,10000,FALSE,0,never,,fill Pr,,,,
40,400,ExtractResults,ResultsPage,fill,txt_pr2_H1,${data.design.pr2_H1},,,,,10000,FALSE,0,never,,fill Pr,,,,
41,410,ExtractResults,ResultsPage,callCustom,,configureOtherScenarios,,,,,30000,FALSE,0,always,,Clear scenario rows, then add and fill the rows represented by design.csv,,,
42,420,ExtractResults,ResultsPage,click,btn_Simulation_Setup,,,,,,10000,FALSE,0,never,,click Simulation Setup,,,,
54,540,ExtractResults,DesignPage,fill,txt_Number_of_Simulations_Run,${data.design.Number of Simulations Run},,,,,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action",,,,
55,550,ExtractResults,ResultsPage,select,ddl_Random_Number_Seed,${data.design.Random Number Seed},,,,,10000,FALSE,0,always,,Select Random Number Seed. Native <select> - select matches by visible label first,,,,
56,560,ExtractResults,ResultsPage,fill,txt_Fixed_Seed,${data.design.Fixed Seed},,,,,10000,FALSE,0,never,,fill Fixed Seed,,,,
57,570,ExtractResults,ResultsPage,click,btn_Save_Simulate,,,,,,10000,FALSE,0,never,,click Save Simulate,,,,
58,580,ConfigureDesign,ResultsPage,fill,txt_ResultName,${data.design.Result Name},,,,,10000,FALSE,0,never,,fill Result Name,,,,
59,590,ConfigureDesign,ResultsPage,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit alert primary,,,,
65,650,ConfigureDesign,ResultsPage,click,txt_ag_icon_ag_icon_tree_closed,,,,,,10000,FALSE,0,never,,click ag icon ag icon tree closed,,,,
67,670,ExtractResults,ResultsPage,callCustom,,extractAllResultTables,,,,,180000,FALSE,0,always,,Wait for completed results, then open each completed result link, extract all tables, close tab, and combine rows for comparison
68,680,ExtractResults,-,compareWithBaseline,,,,,,,60000,FALSE,0,never,,Compare captured cells against 06_baseline/<env>/. First run writes the baseline and reports BASELINE_CREATED (green but verifies nothing); every later run is a real PASS/FAIL,,,,
