TC_ID,IterationID,Run,Project Name,Time Unit,Start Date,Study Objective,Phase,TargetPopulation,Treatment Arm,Control Arm,Priority,Endpoint Name,Endpoint Type,Better Response,Variable,followUpTime,Longer Duration
TC_11,ITER_16,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_17,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_18,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_19,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_20,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_21,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_22,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_23,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_24,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_25,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_26,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_27,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_28,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_29,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_30,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_31,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_32,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_33,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_34,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
TC_11,ITER_35,FALSE,GADAR_AD,Week,07/28/2026,Two Arm Confirmatory,3,Full Population,Experimental,Control,,Endpoint 1,Time to Event,,uncheck,10,Shorter Duration
