TestCaseNo,Feature_Name,boundary_interimSpacing,effBoundaryFam,boundary_efficacy_fix,boundary_efficacy_function,boundary_efficacy_givenProportions,boundary_efficacy_pValue,boundary_efficacy_parameter,boundary_efficacy_shapeParam,boundary_efficacy_bdryExists,boundary_efficacy_cumulAlphaSpent,futBoundaryFam,boundary_futility_function,boundary_futility_givenProportions,boundary_futility_pValue,boundary_futility_parameter,boundary_futility_shapeParam,boundary_efficacy_efficacyLwr_function,boundary_efficacy_efficacyLwr_pValue,boundary_efficacy_efficacyLwr_parameter,boundary_efficacy_efficacyUpr_cumulAlphaSpent,boundary_efficacy_efficacyUpr_function,boundary_efficacy_efficacyUpr_givenProportions,boundary_efficacy_efficacyUpr_pValue,boundary_efficacy_efficacyUpr_parameter,boundary_futility_bdryExists,boundary_futility_boundaryType,boundary_futility_cumulBetaSpent,boundary_futility_delta,piecewiseInputMethod,hazardRatioInputMethod,varianceOfLogHR,inputMethod,allocationRatio,type1Error,lowerType1Error,upperType1Error,testtype,power,hypothesis,variable,followUpTime,dropoutByTime,dropoutControl,dropoutTreatment,startingAtTime(Month),hazardRateControl,hazardRateTrmt_Alt_SPSS,hazardRateTrmt_Null_SS,assuranceFile,includeAssurance,startingAtTime,avgSubjectsEnrolled,maxSubjects,committedSubjects,minSubjects,maxDuration,committedDuration,minDuration,inputParameter,hazardRatio_Alt_SP,hazardRatio_Null_SS,logHazardRatio_Alt_SP,logHazardRatio_Null_SS,priorDistributionFor,distributionMethod,assuranceInputMethod,percLambdaC1stPercentileProb,percLambdaC2ndPercentileProb,percLambdaC1stPercentileVal,percLambdaC2ndPercentileVal,percLambdaC1stOperator,percLambdaC2ndOperator,maxLambdaC,minLambdaC,maxLambdaT,minLambdaT,maxHR,minHR,a,b,percST1stPercentileProb,percST2ndPercentileProb,percST1stPercentileVal,percST2ndPercentileVal,percST1stOperator,percST2ndOperator,sdHR,eHR,percMT1stPercentileProb,percMT2ndPercentileProb,percMT1stPercentileVal,percMT2ndPercentileVal,percMT1stOperator,percMT2ndOperator,sdMT,eMT,sdMC,eMC,max,min
TC_13,GADAR,"25, 50, 75",Haybittle Peto,Total Type I Error,,,"0.0001, 0.0001, 0.0001",,,,,None,,,,,,,,,,,,,,,,,,Hazard Rates,Hazard Ratio,Alternative,Hazard Rates,1,0.025,,,2-Sided,0.9,Superiority,,3,"0, 2.0, 3.0","0.1, 0.3, 0.5","0.25, 0.3, 0.35","0.0, 1.0, 2.0","0.03466, 0.03, 0.025",,,,,"0.0, 1.0, 3.0",,2350,,2341,261.3333333,260.8888889,260.3333333,3,0.5,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_14,GADAR,"16.6666666666667, 33.3333333333333, 50, 66.6666666666667, 83.3333333333333",Spending Functions,,Interpolated,FALSE,,,,"True, True, True, True, True","0.00416666666666668, 0.00833333333333332, 0.0125, 0.0166666666666667, 0.0208333333333333, 0.025",Spending Functions,Interpolated,FALSE,,,,,,,,,,,,"True, False, True, True, True",Binding,"0.0166666666666667, 0.0166666666666667, 0.05, 0.0666666666666667, 0.0666666666666667, 0.1",,,Ratio of Medians,Alternative,Median Survival Times,1,0.025,,,2-Sided,0.9,Superiority,,,,,,0,19.99847607,,,,,,,348.085459,,128.2969358,43.51068237,29.77389967,16.03711697,3,2,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_15,GADAR,50,Spending Functions,,,,,,,,,None,,,,,,Rho Family,,3,,Gamma Family,,,-4,,,,,,Ratio of Medians,Alternative,Median Survival Times,1,,0.0125,0.0125,2-Sided (Asymmetric),0.9,Superiority,,,,,,0,19.99847607,,,,,,,307,,105,38.375,25.75,13.125,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_16,GADAR,"25, 50, 75",Haybittle Peto,Last Look p-value,,,,,,,,None,,,,,,,"0.0001, 0.0001, 0.0001, 0.0124168399613087",,,,,"0.0001, 0.0001, 0.0001, 0.0124168399613087",,,,,,Hazard Rates,None,Null,Cum Perc Survival,1,,0.0125,0.0125,2-Sided (Asymmetric),0.9,Superiority,,3,"0, 2.0, 3.0","0.1, 0.3, 0.5","0.25, 0.3, 0.35",1,96.59337779,98.28193007,,,,"0.0, 1.0, 3.0",,1752,,1742,194.8888889,194.6666667,193.7777778,3,,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_17,GADAR,"25, 50, 75",Spending Functions,,,,,,,,,None,,,,,,Lan-DeMets,,PK,"0.003125, 0.00625, 0.009375",Interpolated,FALSE,,,,,,,Prob of Dropout,Hazard Ratio,Null,Hazard Rates,1,,0.0125,0.0125,2-Sided (Asymmetric),0.9,Superiority,,1,1,0.4,0.01,"0.0, 5.0","0.03466, 0.014",,,,,"0.0, 10.0",,5524.191889,,5519.951776,614.9102099,614.4444444,614.4390862,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_18,GADAR,"25, 50, 75",Spending Functions,,,,,,,,,None,,,,,,Lan-DeMets,,OF,,Lan-DeMets,,,PK,,,,,Hazard Rates,Ratio of Medians,Alternative,Median Survival Times,1,,0.0125,0.0125,2-Sided (Asymmetric),0.9,Superiority,,,,0.01,0.03,0,19.99847607,,,,,,,361.4881781,,210.3451633,45.18602227,27.5,26.29314541,3,2,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_19,GADAR,"25, 50, 75",Haybittle Peto,Total Type I Error,,,,,,,,None,,,,,,,"0.0001, 0.0001, 0.0001",,,,,"0.0001, 0.0001, 0.0001",,,,,,Prob of Dropout,Hazard Ratio,Alternative,Hazard Rates,1,,0.0125,0.0125,2-Sided (Asymmetric),0.9,Superiority,,1,"1.0, 2.0","0.5, 0.5","0.5, 0.5","0.0, 1.0, 2.0","96.5933777917413, 95.0, 94.0",,,,,"0.0, 10.0",,107,,105,13,12.88888889,12.77777778,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_20,GADAR,"25, 50, 75",Haybittle Peto,Last Look p-value,,,,,,,,None,,,,,,,"0.0001, 0.0001, 0.0001, 0.0124168399613087",,,,,"0.0001, 0.0001, 0.0001, 0.0124168399613087",,,,,,Hazard Rates,None,Null,Cum Perc Survival,1,,0.0125,0.0125,2-Sided (Asymmetric),0.9,Superiority,,3,"0, 2.0, 3.0","0.1, 0.3, 0.5","0.25, 0.3, 0.35",1,96.59337779,98.28193007,,,,"0.0, 1.0, 3.0",,1752,,1742,194.8888889,194.6666667,193.7777778,3,,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_21,GADAR,50,Spending Functions,,,,,,,,,None,,,,,,Rho Family,,3,,Gamma Family,,,-4,,,,,,Ratio of Medians,Alternative,Median Survival Times,1,,0.0125,0.0125,2-Sided (Asymmetric),0.9,Superiority,,,,,,0,19.99847607,,,,,,,307,,105,38.375,25.75,13.125,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_22,GADAR,"25, 50, 75",Spending Functions,,,,,,,,,None,,,,,,Lan-DeMets,,PK,"0.003125, 0.00625, 0.009375",Interpolated,FALSE,,,,,,,Prob of Dropout,Hazard Ratio,Null,Hazard Rates,1,,0.0125,0.0125,2-Sided (Asymmetric),0.9,Superiority,,1,1,0.4,0.01,"0.0, 5.0","0.03466, 0.014",,,,,"0.0, 10.0",,5524.191889,,5519.951776,614.9102099,614.4444444,614.4390862,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_23,GADAR,"25, 50, 75",Spending Functions,,,,,,,,,None,,,,,,Lan-DeMets,,OF,,Lan-DeMets,,,PK,,,,,Hazard Rates,Ratio of Medians,Alternative,Median Survival Times,1,,0.0125,0.0125,2-Sided (Asymmetric),0.9,Superiority,,,,0.01,0.03,0,19.99847607,,,,,,,361.4881781,,210.3451633,45.18602227,27.5,26.29314541,3,2,,,,Log Hazard Ratio,Uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
TC_24,GADAR,"25, 50, 75",Haybittle Peto,Total Type I Error,,,,,,,,None,,,,,,,"0.0001, 0.0001, 0.0001",,,,,"0.0001, 0.0001, 0.0001",,,,,,Prob of Dropout,Hazard Ratio,Alternative,Hazard Rates,1,,0.0125,0.0125,2-Sided (Asymmetric),0.9,Superiority,,1,"1.0, 2.0","0.5, 0.5","0.5, 0.5","0.0, 1.0, 2.0","96.5933777917413, 95.0, 94.0",,,,,"0.0, 10.0",,107,,105,13,12.88888889,12.77777778,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_26,GADAR,"25, 50, 75",Wang-Tsiatis,,,,,,0.012,,,None,,,,,,,,,,,,,,,,,,Hazard Rates,Ratio of Perc Survivals,Alternative,Cum Perc Survival,1,0.023,,,1-Sided,0.9,Noninferiority,,1,,0.693147181,0.693147181,"1.0, 2.0, 3.0","96.5933777917413, 95.0, 94.0",,,,,,,35863.16351,,35859.67526,4482.895438,4482.677423,4482.459408,3,1,0.991378598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_27,GADAR,"25, 50, 75",Spending Functions,,Interpolated,FALSE,,,,"False, True, True","0, 0.0125, 0.01875",HRBoundary,,,,,,,,,,,,,,"True, False, True",Non-Binding,,"1.50448047200121, -999998, 1.13251975149227",Prob of Dropout,Log Hazard Ratio,Alternative,Hazard Rates,1,0.025,,,1-Sided,0.9,Noninferiority,,,"1.0, 2.0","0.5, 0.6","0.8, 0.9","0.0, 1.0, 2.0","0.03466, 0.03, 0.025",,,,,"0.0, 1.0",,26196,,26185,3081.941176,3081.352941,3080.647059,3,0,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_28,GADAR,"25, 50, 75",Haybittle Peto,Total Type I Error,,,"0.0001, 0.0002, 0.0003",,,,,HRBoundary,,,,,,,,,,,,,,"True, True, True",Non-Binding,,"1.05599076653378, 0.711372671940319, 0.627911773979309, 0.591550934542575",Hazard Rates,Hazard Ratio,Alternative,Median Survival Times,1,0.025,,,1-Sided,0.9,Super Superiority,,20,,0.5,0.5,0,19.99847607,,,,,,,6200.510625,,6185.22123,775.0638282,774.108241,773.1526537,3,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC_29,GADAR,"25, 50, 75",Haybittle Peto,Total Type I Error,,,"-999998, 0.0002, 0.0003",,,"False, True, True",,HRBoundary,,,,,,,,,,,,,,"True, False, True",Non-Binding,,"1.05599076653378, -999998, 0.627911773979309",Hazard Rates,Hazard Ratio,Alternative,Median Survival Times,1,0.025,,,1-Sided,0.9,Super Superiority,,20,,0.5,0.5,0,19.99847607,,,,,,,6101.027979,,6085.740731,762.6284974,761.6730444,760.7175914,3,0.5,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
