TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Result - set1-1 | Early Stopping Boundaries,15,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-1 | Operating Characteristics,0.028,Early Stop,0.869,20260807T105557_a0be45,,
Result - set1-1 | Operating Characteristics,0.028,Positive Trial,0.028,20260807T105557_a0be45,,
Result - set1-1 | Plan #1,Phase,Parameter,Phase,20260807T105557_a0be45,,
Result - set1-1 | Plan #1,Phase,Value,2,20260807T105557_a0be45,,
Result - set1-1 | Plan #1,Study Objective,Parameter,Study Objective,20260807T105557_a0be45,,
Result - set1-1 | Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260807T105557_a0be45,,
Result - set1-1 | Plan #1,Target Population,Parameter,Target Population,20260807T105557_a0be45,,
Result - set1-1 | Plan #1,Target Population,Value,Adult,20260807T105557_a0be45,,
Result - set1-1 | Plan #1,Treatment Arm,Parameter,Treatment Arm,20260807T105557_a0be45,,
Result - set1-1 | Plan #1,Treatment Arm,Value,EXP,20260807T105557_a0be45,,
Result - set1-1 | Plan #2,Better Response,Parameter,Better Response,20260807T105557_a0be45,,
Result - set1-1 | Plan #2,Better Response,Value,Larger Value,20260807T105557_a0be45,,
Result - set1-1 | Plan #2,Endpoint Name,Parameter,Endpoint Name,20260807T105557_a0be45,,
Result - set1-1 | Plan #2,Endpoint Name,Value,EP1,20260807T105557_a0be45,,
Result - set1-1 | Plan #2,Endpoint Type,Parameter,Endpoint Type,20260807T105557_a0be45,,
Result - set1-1 | Plan #2,Endpoint Type,Value,Binary,20260807T105557_a0be45,,
Result - set1-1 | Plan #2,Priority,Parameter,Priority,20260807T105557_a0be45,,
Result - set1-1 | Plan #2,Priority,Value,Primary,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #1,Number of Analysis,Parameter,Number of Analysis,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #1,Number of Analysis,Value,7,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #1,Response Rate (H0),Parameter,Response Rate (H0),20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #1,Response Rate (H0),Value,0.25,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #1,Response Rate (H1),Parameter,Response Rate (H1),20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #1,Response Rate (H1),Value,0.56,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #1,Test Name,Parameter,Test Name,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #1,Test Name,Value,BOP2 (Single Arm Bayesian Optimal Design),20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #1,Type 1 Error (α),Value,0.026,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #2,Response Rate,Parameter,Response Rate,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #2,Response Rate,Value,0.25,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #3,Number of Simulations Run,Parameter,Number of Simulations Run,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #3,Number of Simulations Run,Value,1001,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #3,Random Number Seed,Parameter,Random Number Seed,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #3,Random Number Seed,Value,Fixed,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #3,Starting Seed,Parameter,Starting Seed,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #3,Starting Seed,Value,101,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #3,Total Number of Simulations,Parameter,Total Number of Simulations,20260807T105557_a0be45,,
Result - set1-1 | Simulation Summary #3,Total Number of Simulations,Value,1001,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,15,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,15,Boundary,ORR ≤ 3,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,15,Sample Size,15,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,25,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,25,Boundary,ORR ≤ 6,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,25,Sample Size,25,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,35,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,35,Boundary,ORR ≤ 9,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,35,Sample Size,35,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,45,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,45,Boundary,ORR ≤ 12,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,45,Sample Size,45,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,55,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,55,Boundary,ORR ≤ 15,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,55,Sample Size,55,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,65,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,65,Boundary,ORR ≤ 18,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,65,Sample Size,65,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,95,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,95,Boundary,ORR ≤ 31,20260807T105557_a0be45,,
Result - set1-2 | Early Stopping Boundaries,95,Sample Size,95,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,15,Cumulative Early Stop,0.005,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,15,Early Stop,0.005,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,15,Sample Size,15,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,25,Cumulative Early Stop,0.005,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,25,Early Stop,0,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,25,Sample Size,25,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,35,Cumulative Early Stop,0.006,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,35,Early Stop,0.001,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,35,Sample Size,35,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,45,Cumulative Early Stop,0.006,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,45,Early Stop,0,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,45,Sample Size,45,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,55,Cumulative Early Stop,0.006,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,55,Early Stop,0,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,55,Sample Size,55,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,65,Cumulative Early Stop,0.006,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,65,Early Stop,0,20260807T105557_a0be45,,
Result - set1-2 | Frequency of Early Stopping,65,Sample Size,65,20260807T105557_a0be45,,
Result - set1-2 | Operating Characteristics,0.994,Average Sample Size,94.54,20260807T105557_a0be45,,
Result - set1-2 | Operating Characteristics,0.994,Early Stop,0.006,20260807T105557_a0be45,,
Result - set1-2 | Operating Characteristics,0.994,Positive Trial,0.994,20260807T105557_a0be45,,
Result - set1-2 | Plan #1,Phase,Parameter,Phase,20260807T105557_a0be45,,
Result - set1-2 | Plan #1,Phase,Value,2,20260807T105557_a0be45,,
Result - set1-2 | Plan #1,Study Objective,Parameter,Study Objective,20260807T105557_a0be45,,
Result - set1-2 | Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260807T105557_a0be45,,
Result - set1-2 | Plan #1,Target Population,Parameter,Target Population,20260807T105557_a0be45,,
Result - set1-2 | Plan #1,Target Population,Value,Adult,20260807T105557_a0be45,,
Result - set1-2 | Plan #1,Treatment Arm,Parameter,Treatment Arm,20260807T105557_a0be45,,
Result - set1-2 | Plan #1,Treatment Arm,Value,EXP,20260807T105557_a0be45,,
Result - set1-2 | Plan #2,Better Response,Parameter,Better Response,20260807T105557_a0be45,,
Result - set1-2 | Plan #2,Better Response,Value,Larger Value,20260807T105557_a0be45,,
Result - set1-2 | Plan #2,Endpoint Name,Parameter,Endpoint Name,20260807T105557_a0be45,,
Result - set1-2 | Plan #2,Endpoint Name,Value,EP1,20260807T105557_a0be45,,
Result - set1-2 | Plan #2,Endpoint Type,Parameter,Endpoint Type,20260807T105557_a0be45,,
Result - set1-2 | Plan #2,Endpoint Type,Value,Binary,20260807T105557_a0be45,,
Result - set1-2 | Plan #2,Priority,Parameter,Priority,20260807T105557_a0be45,,
Result - set1-2 | Plan #2,Priority,Value,Primary,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #1,Number of Analysis,Parameter,Number of Analysis,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #1,Number of Analysis,Value,7,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #1,Response Rate (H0),Parameter,Response Rate (H0),20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #1,Response Rate (H0),Value,0.25,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #1,Response Rate (H1),Parameter,Response Rate (H1),20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #1,Response Rate (H1),Value,0.56,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #1,Test Name,Parameter,Test Name,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #1,Test Name,Value,BOP2 (Single Arm Bayesian Optimal Design),20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #1,Type 1 Error (α),Value,0.026,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #2,Response Rate,Parameter,Response Rate,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #2,Response Rate,Value,0.56,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #3,Number of Simulations Run,Parameter,Number of Simulations Run,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #3,Number of Simulations Run,Value,1001,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #3,Random Number Seed,Parameter,Random Number Seed,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #3,Random Number Seed,Value,Fixed,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #3,Starting Seed,Parameter,Starting Seed,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #3,Starting Seed,Value,101,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #3,Total Number of Simulations,Parameter,Total Number of Simulations,20260807T105557_a0be45,,
Result - set1-2 | Simulation Summary #3,Total Number of Simulations,Value,1001,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,15,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,15,Boundary,ORR ≤ 3,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,15,Sample Size,15,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,25,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,25,Boundary,ORR ≤ 6,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,25,Sample Size,25,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,35,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,35,Boundary,ORR ≤ 9,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,35,Sample Size,35,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,45,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,45,Boundary,ORR ≤ 12,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,45,Sample Size,45,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,55,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,55,Boundary,ORR ≤ 15,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,55,Sample Size,55,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,65,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,65,Boundary,ORR ≤ 18,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,65,Sample Size,65,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,95,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,95,Boundary,ORR ≤ 31,20260807T105557_a0be45,,
Result - set1-3 | Early Stopping Boundaries,95,Sample Size,95,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,15,Cumulative Early Stop,0.005,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,15,Early Stop,0.005,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,15,Sample Size,15,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,25,Cumulative Early Stop,0.005,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,25,Early Stop,0,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,25,Sample Size,25,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,35,Cumulative Early Stop,0.006,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,35,Early Stop,0.001,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,35,Sample Size,35,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,45,Cumulative Early Stop,0.006,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,45,Early Stop,0,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,45,Sample Size,45,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,55,Cumulative Early Stop,0.006,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,55,Early Stop,0,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,55,Sample Size,55,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,65,Cumulative Early Stop,0.006,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,65,Early Stop,0,20260807T105557_a0be45,,
Result - set1-3 | Frequency of Early Stopping,65,Sample Size,65,20260807T105557_a0be45,,
Result - set1-3 | Operating Characteristics,0.994,Average Sample Size,94.54,20260807T105557_a0be45,,
Result - set1-3 | Operating Characteristics,0.994,Early Stop,0.006,20260807T105557_a0be45,,
Result - set1-3 | Operating Characteristics,0.994,Positive Trial,0.994,20260807T105557_a0be45,,
Result - set1-3 | Plan #1,Phase,Parameter,Phase,20260807T105557_a0be45,,
Result - set1-3 | Plan #1,Phase,Value,2,20260807T105557_a0be45,,
Result - set1-3 | Plan #1,Study Objective,Parameter,Study Objective,20260807T105557_a0be45,,
Result - set1-3 | Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260807T105557_a0be45,,
Result - set1-3 | Plan #1,Target Population,Parameter,Target Population,20260807T105557_a0be45,,
Result - set1-3 | Plan #1,Target Population,Value,Adult,20260807T105557_a0be45,,
Result - set1-3 | Plan #1,Treatment Arm,Parameter,Treatment Arm,20260807T105557_a0be45,,
Result - set1-3 | Plan #1,Treatment Arm,Value,EXP,20260807T105557_a0be45,,
Result - set1-3 | Plan #2,Better Response,Parameter,Better Response,20260807T105557_a0be45,,
Result - set1-3 | Plan #2,Better Response,Value,Larger Value,20260807T105557_a0be45,,
Result - set1-3 | Plan #2,Endpoint Name,Parameter,Endpoint Name,20260807T105557_a0be45,,
Result - set1-3 | Plan #2,Endpoint Name,Value,EP1,20260807T105557_a0be45,,
Result - set1-3 | Plan #2,Endpoint Type,Parameter,Endpoint Type,20260807T105557_a0be45,,
Result - set1-3 | Plan #2,Endpoint Type,Value,Binary,20260807T105557_a0be45,,
Result - set1-3 | Plan #2,Priority,Parameter,Priority,20260807T105557_a0be45,,
Result - set1-3 | Plan #2,Priority,Value,Primary,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #1,Number of Analysis,Parameter,Number of Analysis,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #1,Number of Analysis,Value,7,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #1,Response Rate (H0),Parameter,Response Rate (H0),20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #1,Response Rate (H0),Value,0.25,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #1,Response Rate (H1),Parameter,Response Rate (H1),20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #1,Response Rate (H1),Value,0.56,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #1,Test Name,Parameter,Test Name,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #1,Test Name,Value,BOP2 (Single Arm Bayesian Optimal Design),20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #1,Type 1 Error (α),Parameter,Type 1 Error (α),20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #1,Type 1 Error (α),Value,0.026,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #2,Response Rate,Parameter,Response Rate,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #2,Response Rate,Value,0.57,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #3,Number of Simulations Run,Parameter,Number of Simulations Run,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #3,Number of Simulations Run,Value,1001,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #3,Random Number Seed,Parameter,Random Number Seed,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #3,Random Number Seed,Value,Fixed,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #3,Starting Seed,Parameter,Starting Seed,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #3,Starting Seed,Value,101,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #3,Total Number of Simulations,Parameter,Total Number of Simulations,20260807T105557_a0be45,,
Result - set1-3 | Simulation Summary #3,Total Number of Simulations,Value,1001,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,15,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,15,Boundary,ORR ≤ 3,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,15,Sample Size,15,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,25,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,25,Boundary,ORR ≤ 6,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,25,Sample Size,25,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,35,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,35,Boundary,ORR ≤ 9,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,35,Sample Size,35,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,45,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,45,Boundary,ORR ≤ 12,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,45,Sample Size,45,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,55,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,55,Boundary,ORR ≤ 15,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,55,Sample Size,55,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,65,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,65,Boundary,ORR ≤ 18,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,65,Sample Size,65,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,95,Action,Early Stopping for Low Efficacy,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,95,Boundary,ORR ≤ 31,20260807T105557_a0be45,,
Result - set1-4 | Early Stopping Boundaries,95,Sample Size,95,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,15,Cumulative Early Stop,0.003,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,15,Early Stop,0.003,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,15,Sample Size,15,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,25,Cumulative Early Stop,0.003,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,25,Early Stop,0,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,25,Sample Size,25,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,35,Cumulative Early Stop,0.003,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,35,Early Stop,0,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,35,Sample Size,35,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,45,Cumulative Early Stop,0.003,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,45,Early Stop,0,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,45,Sample Size,45,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,55,Cumulative Early Stop,0.003,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,55,Early Stop,0,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,55,Sample Size,55,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,65,Cumulative Early Stop,0.003,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,65,Early Stop,0,20260807T105557_a0be45,,
Result - set1-4 | Frequency of Early Stopping,65,Sample Size,65,20260807T105557_a0be45,,
Result - set1-4 | Operating Characteristics,0.997,Average Sample Size,94.76,20260807T105557_a0be45,,
Result - set1-4 | Operating Characteristics,0.997,Early Stop,0.003,20260807T105557_a0be45,,
Result - set1-4 | Operating Characteristics,0.997,Positive Trial,0.997,20260807T105557_a0be45,,
Result - set1-4 | Plan #1,Phase,Parameter,Phase,20260807T105557_a0be45,,
Result - set1-4 | Plan #1,Phase,Value,2,20260807T105557_a0be45,,
Result - set1-4 | Plan #1,Study Objective,Parameter,Study Objective,20260807T105557_a0be45,,
Result - set1-4 | Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260807T105557_a0be45,,
Result - set1-4 | Plan #1,Target Population,Parameter,Target Population,20260807T105557_a0be45,,
Result - set1-4 | Plan #1,Target Population,Value,Adult,20260807T105557_a0be45,,
Result - set1-4 | Plan #1,Treatment Arm,Parameter,Treatment Arm,20260807T105557_a0be45,,
