Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description,
56,560,ConfigureDesign,Page,fill,txt_input_Method_Table_1_starting_At_Time,${data.simulation.inputMethodTable.1.startingAtTime},,,,,10000,FALSE,0,never,,fill inputMethodTable.1.startingAtTime,
57,570,ConfigureDesign,Page,fill,txt_input_Method_Table_1_hazard_Rate_Control,${data.simulation.inputMethodTable.1.hazardRateControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.1.hazardRateControl,
58,580,ConfigureDesign,Page,fill,txt_input_Method_Table_1_hazard_Ratio,${data.simulation.inputMethodTable.1.hazardRatio},,,,,10000,FALSE,0,never,,fill inputMethodTable.1.hazardRatio,
59,590,ConfigureDesign,Page,fill,txt_input_Method_Table_0_by_Time,${data.simulation.inputMethodTable.0.byTime},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.byTime,
60,600,ConfigureDesign,Page,fill,txt_input_Method_Table_0_cum_Perc_Survival_Control,${data.simulation.inputMethodTable.0.cumPercSurvivalControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.cumPercSurvivalControl,
61,610,ConfigureDesign,Page,fill,txt_input_Method_Table_1_by_Time,${data.simulation.inputMethodTable.1.byTime},,,,,10000,FALSE,0,never,,fill inputMethodTable.1.byTime,
62,620,ConfigureDesign,Page,fill,txt_input_Method_Table_1_cum_Perc_Survival_Control,${data.simulation.inputMethodTable.1.cumPercSurvivalControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.1.cumPercSurvivalControl,
63,630,ConfigureDesign,Page,fill,txt_input_Method_Table_2_starting_At_Time,${data.simulation.inputMethodTable.2.startingAtTime},,,,,10000,FALSE,0,never,,fill inputMethodTable.2.startingAtTime (3rd survival period; auto-skips when N/A),
64,640,ConfigureDesign,Page,fill,txt_input_Method_Table_2_by_Time,${data.simulation.inputMethodTable.2.byTime},,,,,10000,FALSE,0,never,,fill inputMethodTable.2.byTime,
65,650,ConfigureDesign,Page,fill,txt_input_Method_Table_2_cum_Perc_Survival_Control,${data.simulation.inputMethodTable.2.cumPercSurvivalControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.2.cumPercSurvivalControl,
65,655,ConfigureDesign,Page,fill,txt_input_Method_Table_2_hazard_Rate_Control,${data.simulation.inputMethodTable.2.hazardRateControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.2.hazardRateControl (3rd survival period; auto-skips when N/A),
66,660,ConfigureDesign,Page,fill,txt_input_Method_Table_2_hazard_Ratio,${data.simulation.inputMethodTable.2.hazardRatio},,,,,10000,FALSE,0,never,,fill inputMethodTable.2.hazardRatio,
67,670,ConfigureDesign,Page,check,chk_variable,,,,,,10000,FALSE,0,always,${data.simulation.variable}!=check,check variable when testdata variable=check (SkipIf gates it per iteration),
68,680,ConfigureDesign,Page,uncheck,chk_variable,,,,,,10000,FALSE,0,always,${data.simulation.variable}!=uncheck,uncheck variable when testdata variable=uncheck (SkipIf gates it per iteration),
70,700,ConfigureDesign,Page,fill,txt_follow_Up_Time,${data.simulation.followUpTime},,,,,10000,FALSE,0,never,,fill followUpTime,
71,710,ConfigureDesign,Page,select,ddl_Dropout_Distribution,${data.simulation.dropoutDistributionSelect},,,,,10000,FALSE,0,always,,Select Dropout Distribution. Native <select> - select matches by visible label first,
79,715,ConfigureDesign,Page,select,ddl_piecewise_Input_Method,${data.simulation.piecewiseInputMethod},,,,,10000,FALSE,0,always,,Select piecewiseInputMethod before filling branch-specific dropout fields,
79,718,ConfigureDesign,Page,callCustom,,reconcileDropoutPeriods,,,,,20000,FALSE,0,never,,reconcile dropout table period count to the sim spec,
72,720,ConfigureDesign,Page,fill,txt_dropout_Table_0_dropout_By_Time,${data.simulation.dropoutTable.0.dropoutByTime},,,,,10000,FALSE,0,never,,fill dropoutTable.0.dropoutByTime,
73,730,ConfigureDesign,Page,fill,txt_dropout_Table_0_prob_Ofdropout_Control,${data.simulation.dropoutTable.0.probOfdropoutControl},,,,,10000,FALSE,0,never,,fill dropoutTable.0.probOfdropoutControl,
74,740,ConfigureDesign,Page,fill,txt_dropout_Table_0_prob_Ofdropout_Treatment,${data.simulation.dropoutTable.0.probOfdropoutTreatment},,,,,10000,FALSE,0,never,,fill dropoutTable.0.probOfdropoutTreatment,
75,750,ConfigureDesign,Page,fill,txt_dropout_Table_1_dropout_By_Time,${data.simulation.dropoutTable.1.dropoutByTime},,,,,10000,FALSE,0,never,,fill dropoutTable.1.dropoutByTime,
76,760,ConfigureDesign,Page,fill,txt_dropout_Table_1_prob_Ofdropout_Control,${data.simulation.dropoutTable.1.probOfdropoutControl},,,,,10000,FALSE,0,never,,fill dropoutTable.1.probOfdropoutControl,
77,770,ConfigureDesign,Page,fill,txt_dropout_Table_1_prob_Ofdropout_Treatment,${data.simulation.dropoutTable.1.probOfdropoutTreatment},,,,,10000,FALSE,0,never,,fill dropoutTable.1.probOfdropoutTreatment,
78,780,ConfigureDesign,Page,click,txt_dropout_Table_1_prob_Ofdropout_Treatment,,,,,,10000,FALSE,0,never,${data.simulation.dropoutTable.1.probOfdropoutTreatment}==N/A,click dropoutTable.1.probOfdropoutTreatment only when period 2 probability data exists,
80,800,ConfigureDesign,Page,fill,txt_dropout_Table_0_dropout_Hazard_Rate_Control,${data.simulation.dropoutTable.0.dropoutHazardRateControl},,,,,10000,FALSE,0,never,,fill dropoutTable.0.dropoutHazardRateControl,
81,810,ConfigureDesign,Page,fill,txt_dropout_Table_0_dropout_Hazard_Rate_Treatment,${data.simulation.dropoutTable.0.dropoutHazardRateTreatment},,,,,10000,FALSE,0,never,,fill dropoutTable.0.dropoutHazardRateTreatment,
82,820,ConfigureDesign,Page,fill,txt_dropout_Table_1_dropout_Starting_At_Time,${data.simulation.dropoutTable.1.dropoutStartingAtTime},,,,,10000,FALSE,0,never,,fill dropoutTable.1.dropoutStartingAtTime,
83,830,ConfigureDesign,Page,fill,txt_dropout_Table_1_dropout_Hazard_Rate_Control,${data.simulation.dropoutTable.1.dropoutHazardRateControl},,,,,10000,FALSE,0,never,,fill dropoutTable.1.dropoutHazardRateControl,
84,840,ConfigureDesign,Page,fill,txt_dropout_Table_1_dropout_Hazard_Rate_Treatment,${data.simulation.dropoutTable.1.dropoutHazardRateTreatment},,,,,10000,FALSE,0,never,,fill dropoutTable.1.dropoutHazardRateTreatment,
85,850,ConfigureDesign,Page,click,btn_Enrollment,,,,,,10000,FALSE,0,never,,click Enrollment,
85,852,ConfigureDesign,Page,waitForSelector,ddl_accrual_Info_Input_Method,,,,,visible,30000,FALSE,0,never,,wait for the Enrollment-tab accrual method <select> to fully render before selecting it (ITER_04 raced the tab render: the native select was not attached within 10s so the select keyword fell into combobox handling and failed),
86,860,ConfigureDesign,Page,fill,txt_Accrual_Duration_Week,${data.simulation.accrualDuration},,,,,10000,FALSE,0,never,,fill Accrual Duration,
87,855,ConfigureDesign,Page,select,ddl_accrual_Info_Input_Method,${data.simulation.accrualInfoInputMethod},,,,,10000,FALSE,0,always,,Select accrualInfoInputMethod. Native <select> - select matches by visible label first,
88,880,ConfigureDesign,Page,fill,txt_enrollment_Table_0_avg_Subjects_Enrolled,${data.simulation.enrollmentTable.0.avgSubjectsEnrolled},,,,,10000,FALSE,0,never,,fill enrollmentTable.0.avgSubjectsEnrolled,
88,885,ConfigureDesign,Page,callCustom,,reconcileEnrollmentPeriods,,,,,20000,FALSE,0,never,,reconcile enrollment table period count to the sim spec,
91,910,ConfigureDesign,Page,fill,txt_enrollment_Table_1_starting_At_Time,${data.simulation.enrollmentTable.1.startingAtTime},,,,,10000,FALSE,0,never,,fill enrollmentTable.1.startingAtTime,
92,920,ConfigureDesign,Page,fill,txt_enrollment_Table_1_avg_Subjects_Enrolled,${data.simulation.enrollmentTable.1.avgSubjectsEnrolled},,,,,10000,FALSE,0,never,,fill enrollmentTable.1.avgSubjectsEnrolled,
93,930,ConfigureDesign,Page,click,btn_Simulation_Setup,,,,,,10000,FALSE,0,never,,click Simulation Setup,
94,940,ConfigureDesign,Page,fill,txt_Number_of_Simulations_Run,${data.simulation.Number of Simulations Run},,,,,10000,FALSE,0,never,,fill Number of Simulations Run,
95,950,ConfigureDesign,Page,select,ddl_Random_Number_Seed,${data.simulation.randomNumberSeed},,,,,10000,FALSE,0,always,,Select Random Number Seed. Native <select> - select matches by visible label first,
96,960,ConfigureDesign,Page,fill,txt_Fixed_Seed,${data.simulation.fixedSeed},,,,,10000,FALSE,0,never,,fill Fixed Seed,
97,970,ConfigureDesign,Page,check,chk_save_Summary_Stats,,,,,,10000,FALSE,0,always,${data.simulation.saveSummaryStats}!=check,check saveSummaryStats when testdata saveSummaryStats=check (SkipIf gates it per iteration),
98,980,ConfigureDesign,Page,uncheck,chk_save_Summary_Stats,,,,,,10000,FALSE,0,always,${data.simulation.saveSummaryStats}!=uncheck,uncheck saveSummaryStats when testdata saveSummaryStats=uncheck (SkipIf gates it per iteration),
99,990,ConfigureDesign,Page,check,chk_save_Subject_Level_Data,,,,,,10000,FALSE,0,always,${data.simulation.saveSubjectLevelData}!=check,check saveSubjectLevelData when testdata saveSubjectLevelData=check (SkipIf gates it per iteration),
100,1000,ConfigureDesign,Page,uncheck,chk_save_Subject_Level_Data,,,,,,10000,FALSE,0,always,${data.simulation.saveSubjectLevelData}!=uncheck,uncheck saveSubjectLevelData when testdata saveSubjectLevelData=uncheck (SkipIf gates it per iteration),
101,1010,ConfigureDesign,Page,fill,txt_sub_Level_Data_Sim_Runs,${data.simulation.subLevelDataSimRuns},,,,,10000,FALSE,0,never,,fill subLevelDataSimRuns,
102,1020,ConfigureDesign,Page,click,btn_Save,,,,,,10000,FALSE,0,never,,click Save,
103,1030,Simulate,DesignPage,click,btn_Save_Simulate,,,,,,10000,FALSE,0,never,,click Save Simulate,
103,1035,ConfigureDesign,Page,fill,txt_ResultName,${data.simulation.Sim Result Name},,,,,10000,FALSE,0,never,,name the simulation result in the Save & Simulate dialog (#inputId) with a distinct name so it opens without colliding with the design 'Result - Set1' link,
104,1040,ConfigureDesign,Page,click,txt_credit_alert_primary,,,,,,10000,FALSE,0,never,,click credit alert primary,
105,1050,Simulate,ResultsPage,waitForSimulation,lbl_RunStatus,,,,Completed,,120000,FALSE,0,always,,Poll the run status until Completed before opening the result,
106,1060,ExtractResults,ResultsPage,click,lnk_ResultName,${data.simulation.Sim Result Name},,,,visible,180000,FALSE,0,always,,Open the simulation result by its distinct name (set in the Save & Simulate dialog) so it does not collide with the design 'Result - Set1' link,
107,1070,ExtractResults,ResultsPage,callCustom,,extractAllResultTables,,,,,120000,FALSE,0,always,,Capture EVERY table on the result page. Requires custom/<Feature>/customSteps.ts to export extractAllResultTables,
108,1080,ExtractResults,-,compareWithBaseline,,,,,,,60000,FALSE,0,never,,Compare captured cells against 06_baseline/<env>/. First run writes the baseline and reports BASELINE_CREATED (green but verifies nothing); every later run is a real PASS/FAIL,
