Seq,StepID,StepGroup,Page,Action,ObjectName,InputValue,StoreAs,AssertType,ExpectedValue,WaitCondition,Timeout,Optional,Retry,Screenshot,SkipIf,Description
20,200,ConfigureDesign,ProjectPage,click,btn_Create_Project,,,,,,10000,FALSE,0,never,,click Create Project
21,210,ConfigureDesign,ProjectPage,click,btn_Inputs,,,,,,10000,FALSE,0,never,,click Inputs
22,220,CreateInputSet,InputSetPage,click,btn_New_Input_Set,,,,,,10000,FALSE,0,never,,click New Input Set
23,230,CreateInputSet,InputSetPage,fill,txt_collection_Name,${data.inputset.collectionName},,,,,10000,FALSE,0,never,,fill collectionName
24,240,Simulate,DesignPage,click,btn_Design_Compute_or_simulate_a,,,,,,10000,FALSE,0,never,,click Design Compute or simulate a
25,250,ExtractResults,ResultsPage,select,ddl_react_select_input_container,${data.design.react select input container},,,,,15000,FALSE,0,always,,Select react select input container. select opens the menu and commits the option itself - works for native and custom dropdowns
26,260,ExtractResults,ResultsPage,click,btn_Continue,,,,,,10000,FALSE,0,never,,click Continue
27,270,ExtractResults,ResultsPage,select,ddl_Hypothesis,${data.design.Hypothesis},,,,,10000,FALSE,0,always,,Select Hypothesis. Native <select> - select matches by visible label first
28,290,ExtractResults,DesignPage,assertValue,obj_Test_Type,,,,${data.design.Test Type},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
29,300,ExtractResults,ResultsPage,fill,txt_Type_1_Error,${data.design.Type 1 Error},,,,,10000,FALSE,0,never,,fill Type 1 Error
30,310,ExtractResults,ResultsPage,select,ddl_testtype,${data.design.Test Type},,,,,10000,FALSE,0,always,,Select testtype. Native <select> - select matches by visible label first
31,320,ExtractResults,ResultsPage,fill,txt_upper_Type1Error,${data.design.Upper Type 1 Error},,,,,10000,FALSE,0,never,,fill upperType1Error
32,330,ExtractResults,ResultsPage,fill,txt_lower_Type1Error,${data.design.Lower Type 1 Error},,,,,10000,FALSE,0,never,,fill lowerType1Error
33,340,ExtractResults,DesignPage,assertValue,obj_Number_of_Events,,,,${data.design.Number of Events},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
34,350,ExtractResults,ResultsPage,fill,txt_Allocation_Ratio_nt_nc,${data.design.Allocation Ratio},,,,,10000,FALSE,0,never,,fill Allocation Ratio
35,360,ExtractResults,ResultsPage,select,ddl_Input_Method,${data.design.inputMethod},,,,,10000,FALSE,0,always,,Select Input Method. Native <select> - select matches by visible label first
36,370,ExtractResults,ResultsPage,select,ddl_input_Method,${data.design.inputMethod},,,,,10000,FALSE,0,always,,Select inputMethod. Native <select> - select matches by visible label first
37,380,ExtractResults,DesignPage,assertValue,obj_Starting_At_Time_Week,,,,${data.design.Starting At Time},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
38,390,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_hazard_Rate_Control,${data.design.inputMethodTable.0.hazardRateControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.hazardRateControl
39,400,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_hazard_Rate_Trmt_Null_SS,${data.design.inputMethodTable.0.hazardRateTrmt_Null_SS},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.hazardRateTrmt_Null_SS
40,410,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_hazard_Rate_Trmt_Alt_SPSS,${data.design.inputMethodTable.0.hazardRateTrmt_Alt_SPSS},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.hazardRateTrmt_Alt_SPSS
41,420,ExtractResults,ResultsPage,click,btn_Add_Period,,,,,,10000,FALSE,0,never,${data.design.inputMethodTable.1.hazardRateControl}==N/A,click Add Period
42,430,ExtractResults,ResultsPage,click,btn_Add_Period,,,,,,10000,FALSE,0,never,${data.design.inputMethodTable.2.hazardRateControl}==N/A,click Add Period
43,440,ExtractResults,ResultsPage,fill,txt_input_Method_Table_2_starting_At_Time,${data.design.inputMethodTable.2.startingAtTime},,,,,10000,FALSE,0,never,${data.design.inputMethodTable.2.hazardRateControl}==N/A,"fill inputMethodTable.2.startingAtTime (Hazard-Rate piecewise only; cum method uses byTime)"
44,450,ExtractResults,ResultsPage,fill,txt_input_Method_Table_1_starting_At_Time,${data.design.inputMethodTable.1.startingAtTime},,,,,10000,FALSE,0,never,${data.design.inputMethodTable.1.hazardRateControl}==N/A,"fill inputMethodTable.1.startingAtTime (Hazard-Rate piecewise only; cum method uses byTime)"
45,460,ExtractResults,ResultsPage,fill,txt_input_Method_Table_1_hazard_Rate_Control,${data.design.inputMethodTable.1.hazardRateControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.1.hazardRateControl
46,470,ExtractResults,ResultsPage,fill,txt_input_Method_Table_2_hazard_Rate_Control,${data.design.inputMethodTable.2.hazardRateControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.2.hazardRateControl
47,480,ExtractResults,DesignPage,assertValue,obj_Input_Method,,,,${data.design.Input Method},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
475,485,ExtractResults,ResultsPage,select,ddl_hazard_Ratio_Input_Method,${data.design.hazardRatioInputMethod},,,,,10000,FALSE,0,always,${data.design.hazardRatio_Null_SS}==N/A,"set effect sub-method BEFORE the Hazard Ratio fills (Median input method defaults sub-method to None -> HR fields greyed/disabled)"
48,490,ExtractResults,ResultsPage,fill,txt_Hazard_Ratio_Null,${data.design.hazardRatio_Null_SS},,,,,10000,FALSE,0,never,,fill Hazard Ratio
495,495,ExtractResults,ResultsPage,fill,txt_Hazard_Ratio_Null,${data.design.hazardRatio_Null_NI},,,,,10000,FALSE,0,never,,fill Hazard Ratio Null (Noninferiority)
49,500,ExtractResults,ResultsPage,fill,txt_Hazard_Ratio_Alternative,${data.design.hazardRatio_Alt_SS},,,,,10000,FALSE,0,never,,fill Hazard Ratio
501,501,ExtractResults,ResultsPage,fill,txt_Hazard_Ratio_Alternative,${data.design.hazardRatio_Alt_SP},,,,,10000,FALSE,0,never,,fill Hazard Ratio Alt (Superiority)
502,502,ExtractResults,ResultsPage,fill,txt_Hazard_Ratio_Alternative,${data.design.hazardRatio_Alt_NI},,,,,10000,FALSE,0,never,,fill Hazard Ratio Alt (Noninferiority)
50,510,ExtractResults,DesignPage,assertValue,obj_Log_Hazard_Ratio_Null,,,,${data.design.logHazardRatio_Null_SS},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
52,530,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Null,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
53,540,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
54,550,ExtractResults,ResultsPage,fill,txt_Log_Hazard_Ratio_Null,${data.design.logHazardRatio_Null_SS},,,,,10000,FALSE,0,never,,fill Log Hazard Ratio
555,555,ExtractResults,ResultsPage,fill,txt_Log_Hazard_Ratio_Null,${data.design.logHazardRatio_Null_NI},,,,,10000,FALSE,0,never,,fill Log Hazard Ratio Null (Noninferiority)
55,560,ExtractResults,ResultsPage,fill,txt_Log_Hazard_Ratio_Alternative,${data.design.logHazardRatio_Alt_SS},,,,,10000,FALSE,0,never,,fill Log Hazard Ratio
565,565,ExtractResults,ResultsPage,fill,txt_Log_Hazard_Ratio_Alternative,${data.design.logHazardRatio_Alt_SP},,,,,10000,FALSE,0,never,,fill Log Hazard Ratio Alt (Superiority)
566,566,ExtractResults,ResultsPage,fill,txt_Log_Hazard_Ratio_Alternative,${data.design.logHazardRatio_Alt_NI},,,,,10000,FALSE,0,never,,fill Log Hazard Ratio Alt (Noninferiority)
56,570,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_by_Time,${data.design.inputMethodTable.0.byTime},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.byTime
57,580,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_cum_Perc_Survival_Control,${data.design.inputMethodTable.0.cumPercSurvivalControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.cumPercSurvivalControl
58,590,ExtractResults,DesignPage,assertValue,obj_Cumulative_Survival_Treatment_Null_st0,,,,${data.design.Cumulative % Survival (Treatment: Null)},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
59,600,ExtractResults,ResultsPage,click,btn_Cumulative_Survival_Treatment_Alternative_st,,,,,,10000,FALSE,0,never,${data.design.inputMethodTable.3.cumPercSurvivalControl}==N/A,"Add Period for a 4th cum-survival row (index 3); paired with fills 610/620. Gate on row-3 data so it does not double-add with 880/890"
60,610,ExtractResults,ResultsPage,fill,txt_input_Method_Table_3_by_Time,${data.design.inputMethodTable.3.byTime},,,,,10000,FALSE,0,never,,fill inputMethodTable.3.byTime
61,620,ExtractResults,ResultsPage,fill,txt_input_Method_Table_3_cum_Perc_Survival_Control,${data.design.inputMethodTable.3.cumPercSurvivalControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.3.cumPercSurvivalControl
62,630,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Null,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
63,640,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
64,645,ExtractResults,ResultsPage,select,ddl_hazard_Ratio_Input_Method,${data.design.hazardRatioInputMethod},,,,,10000,FALSE,0,always,,Select hazardRatioInputMethod. Native <select> - select matches by visible label first
65,650,ExtractResults,ResultsPage,fill,txt_Ratio_of_Survivals_at_Period_1_Null,${data.design.ratioOfPercSurv_Null_SS},,,,,10000,FALSE,0,never,,fill Ratio of % Survivals at Period # 1
655,655,ExtractResults,ResultsPage,fill,txt_Ratio_of_Survivals_at_Period_1_Null,${data.design.ratioOfPercSurv_Null_NI},,,,,10000,FALSE,0,never,,fill Ratio of % Survivals Null (Noninferiority)
66,660,ExtractResults,ResultsPage,fill,txt_Ratio_of_Survivals_at_Period_1_Alternative,${data.design.ratioOfPercSurv_Alt_SS},,,,,10000,FALSE,0,never,,fill Ratio of % Survivals at Period # 1
665,665,ExtractResults,ResultsPage,fill,txt_Ratio_of_Survivals_at_Period_1_Alternative,${data.design.ratioOfPercSurv_Alt_SP},,,,,10000,FALSE,0,never,,fill Ratio of % Survivals Alt (Superiority)
666,666,ExtractResults,ResultsPage,fill,txt_Ratio_of_Survivals_at_Period_1_Alternative,${data.design.ratioOfPercSurv_Alt_NI},,,,,10000,FALSE,0,never,,fill Ratio of % Survivals Alt (Noninferiority)
67,670,ExtractResults,DesignPage,assertValue,obj_Starting_At_Time_Week,,,,${data.design.Starting At Time},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
68,680,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_median_Survival_Time_Control,${data.design.inputMethodTable.0.medianSurvivalTimeControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.medianSurvivalTimeControl
69,690,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_median_Survival_Time_Trmt_Null_SS,${data.design.inputMethodTable.0.medianSurvivalTimeTrmt_Null_SS},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.medianSurvivalTimeTrmt_Null_SS
70,700,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_median_Survival_Time_Trmt_Alt_SPSS,${data.design.inputMethodTable.0.medianSurvivalTimeTrmt_Alt_SPSS},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.medianSurvivalTimeTrmt_Alt_SPSS
71,710,ExtractResults,DesignPage,assertValue,obj_Input_Method,,,,${data.design.Input Method},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
72,720,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Null,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
73,730,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
74,740,ExtractResults,DesignPage,assertValue,obj_Ratio_of_Medians_Null,,,,${data.design.ratioOfMedians_Null_SS},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
76,760,ExtractResults,DesignPage,assertValue,obj_Ratio_of_Medians_Null,,,,${data.design.ratioOfMedians_Null_SS},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
77,770,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Null,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
78,780,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
79,790,ExtractResults,ResultsPage,fill,txt_Ratio_of_Medians_Null,${data.design.ratioOfMedians_Null_SS},,,,,10000,FALSE,0,never,,fill Ratio of Medians
80,800,ExtractResults,ResultsPage,fill,txt_Ratio_of_Medians_Alternative,${data.design.ratioOfMedians_Alt_SS},,,,,10000,FALSE,0,never,,fill Ratio of Medians
805,805,ExtractResults,ResultsPage,fill,txt_Ratio_of_Medians_Alternative,${data.design.ratioOfMedians_Alt_SP},,,,,10000,FALSE,0,never,,fill Ratio of Medians Alt (Superiority)
81,810,ExtractResults,ResultsPage,select,ddl_hypothesis,${data.design.Hypothesis},,,,,10000,FALSE,0,always,,Select hypothesis. Native <select> - select matches by visible label first
82,820,ExtractResults,DesignPage,assertValue,obj_Starting_At_Time_Week,,,,${data.design.Starting At Time},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
83,830,ExtractResults,DesignPage,assertValue,obj_Input_Method,,,,${data.design.Input Method},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
84,840,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
85,850,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
86,870,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_cum_Perc_Survival_Trmt_Alt_SPSS,${data.design.inputMethodTable.0.cumPercSurvivalTrmt_Alt_SPSS},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.cumPercSurvivalTrmt_Alt_SPSS
87,880,ExtractResults,ResultsPage,click,btn_Add_Period,,,,,,10000,FALSE,0,never,${data.design.inputMethodTable.1.cumPercSurvivalControl}==N/A,click Add Period
88,890,ExtractResults,ResultsPage,click,btn_Add_Period,,,,,,10000,FALSE,0,never,${data.design.inputMethodTable.2.cumPercSurvivalControl}==N/A,click Add Period
89,900,ExtractResults,ResultsPage,fill,txt_input_Method_Table_1_by_Time,${data.design.inputMethodTable.1.byTime},,,,,10000,FALSE,0,never,,fill inputMethodTable.1.byTime
90,910,ExtractResults,ResultsPage,fill,txt_input_Method_Table_1_cum_Perc_Survival_Control,${data.design.inputMethodTable.1.cumPercSurvivalControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.1.cumPercSurvivalControl
91,920,ExtractResults,ResultsPage,fill,txt_input_Method_Table_2_by_Time,${data.design.inputMethodTable.2.byTime},,,,,10000,FALSE,0,never,,fill inputMethodTable.2.byTime
92,930,ExtractResults,ResultsPage,fill,txt_input_Method_Table_2_cum_Perc_Survival_Control,${data.design.inputMethodTable.2.cumPercSurvivalControl},,,,,10000,FALSE,0,never,,fill inputMethodTable.2.cumPercSurvivalControl
93,940,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
94,970,ExtractResults,DesignPage,assertValue,obj_Starting_At_Time_Week,,,,${data.design.Starting At Time},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
95,980,ExtractResults,DesignPage,assertValue,obj_Median_Survival_Time_Treatment_Alternative_mt_Week,,,,${data.design.Median Survival Time (Treatment: Alternative) (mt)},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
96,990,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
97,1000,ExtractResults,DesignPage,assertValue,obj_Ratio_of_Medians_Alternative,,,,${data.design.ratioOfMedians_Alt_SS},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
98,1010,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
99,1020,ExtractResults,DesignPage,assertValue,obj_Starting_At_Time_Week,,,,${data.design.Starting At Time},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
100,1030,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_hazard_Rate_Trmt_Null_NI,${data.design.inputMethodTable.0.hazardRateTrmt_Null_NI},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.hazardRateTrmt_Null_NI
101,1040,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_hazard_Rate_Trmt_Alt_NI,${data.design.inputMethodTable.0.hazardRateTrmt_Alt_NI},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.hazardRateTrmt_Alt_NI
102,1050,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Null,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
103,1060,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
106,1090,ExtractResults,DesignPage,assertValue,obj_Starting_At_Time_Week,,,,${data.design.Starting At Time},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
107,1100,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_median_Survival_Time_Trmt_Null_NI,${data.design.inputMethodTable.0.medianSurvivalTimeTrmt_Null_NI},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.medianSurvivalTimeTrmt_Null_NI
108,1110,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_median_Survival_Time_Trmt_Alt_NI,${data.design.inputMethodTable.0.medianSurvivalTimeTrmt_Alt_NI},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.medianSurvivalTimeTrmt_Alt_NI
109,1120,ExtractResults,DesignPage,assertValue,obj_Ratio_of_Medians_Null,,,,${data.design.ratioOfMedians_Null_SS},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
110,1130,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Null,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
111,1140,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
112,1150,ExtractResults,DesignPage,assertValue,obj_Ratio_of_Medians_Null,,,,${data.design.ratioOfMedians_Null_SS},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
113,1160,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Null,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
114,1170,ExtractResults,DesignPage,assertValue,obj_Hazard_Ratio_Alternative,,,,${data.design.Hazard Ratio},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
115,1180,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_cum_Perc_Survival_Trmt_Null_NI,${data.design.inputMethodTable.0.cumPercSurvivalTrmt_Null_NI},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.cumPercSurvivalTrmt_Null_NI
116,1190,ExtractResults,ResultsPage,fill,txt_input_Method_Table_0_cum_Perc_Survival_Trmt_Alt_NI,${data.design.inputMethodTable.0.cumPercSurvivalTrmt_Alt_NI},,,,,10000,FALSE,0,never,,fill inputMethodTable.0.cumPercSurvivalTrmt_Alt_NI
118,1210,ExtractResults,DesignPage,assertValue,obj_Input_Method,,,,${data.design.Input Method},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
119,1220,ExtractResults,DesignPage,assertValue,obj_Ratio_of_Survivals_at_Period_1_Null,,,,${data.design.ratioOfPercSurv_Alt_SS},,10000,TRUE,0,always,,"clicked but not filled during recording - defaulted to assertValue (Optional). Set the expected value in design.csv; fix the selector and flip Optional=FALSE to enforce, or change the action"
